;LOPE_AmorConVista(1626)cate;LOPE_AmorPleitoYDesafio(1621)cate;LOPE_AyVerdadesQueEnAmor(1625)cate;LOPE_BastardoMudarra(1612)cate;LOPE_BatallaDelHonor(1608)cate;LOPE_Benavides(1600)cate;LOPE_BizarriasDeBelisa(1634)cate;LOPE_BrasilRestituido(1625)cate;LOPE_BuenaGuarda(1610)cate;LOPE_BurgalesaDeLerma(1613)cate;LOPE_CaballeroDelSacramento(1610)cate;LOPE_CardenalDeBelen(1610)cate;LOPE_CarlosQuintoEnFrancia(1604)cate;LOPE_CastigoSinVenganza(1631)cate;LOPE_CoronaDeHungria(1623)cate;LOPE_CoronaMerecida(1603)cate;LOPE_CuerdoLoco(1602)cate;LOPE_DamaBoba(1613)cate;LOPE_DelMonteSale(1627)cate;LOPE_DesdenVengado(1617)cate;LOPE_DiscordiaEnLosCasados(1611)cate;LOPE_EstefaniaLaDesdichada(1604)cate;LOPE_FavorAgradecido(1593)cate;LOPE_GalanDeLaMembrilla(1615)cate;LOPE_HermosaEster(1610)cate;LOPE_LoQuePasaEnUnaTarde(1617)cate;LOPE_MarquesDeLasNavas(1624)cate;LOPE_MasPuedenCelos(1627)cate;LOPE_MayorVictoriaDeAlemania(1622)cate;LOPE_NinezDelPadreRojas(1625)cate;LOPE_PedroCarbonero(1603)cate;LOPE_PoderEnElDiscreto(1623)cate;LOPE_PrincipeDespenado(1602)cate;LOPE_PruebaDeLosAmigos(1604)cate;LOPE_QuienMasNoPuede(1616)cate;LOPE_SantiagoElVerde(1615)cate;LOPE_SembrarEnBuenaTierra(1616)cate;LOPE_SinSecretoNoHayAmor(1626)cate
vmip3p0;0,722022;0,955310;1,026046;0,738525;0,858888;0,529529;1,073434;1,528347;0,942415;1,037356;0,678805;0,706593;0,685786;0,813696;0,970071;0,587522;0,678253;1,064625;0,740398;0,712215;1,076278;0,733048;0,569249;0,801199;0,783005;1,156712;0,975736;0,617957;1,382814;0,745321;0,819898;0,562467;0,536938;0,783757;0,995057;1,089144;1,045368;0,645540
dp1css;0,782190;1,066545;0,566836;1,074219;0,998004;1,042849;0,696666;0,554986;0,766931;0,600873;1,053099;0,562530;0,630369;1,080588;0,774553;0,823807;1,035548;0,684846;0,846169;0,869784;0,713347;0,997760;0,786385;0,904951;0,660448;0,849562;0,552629;0,814249;0,733738;0,643686;0,606311;1,078613;1,160279;0,543076;1,110612;0,781342;0,676414;0,880282
pt00000;0,742078;0,680495;0,839492;0,616455;0,955664;0,772681;0,632686;0,512295;0,877421;0,663228;0,710525;0,583110;0,796620;0,585861;0,774553;0,759946;1,029492;0,871622;0,899055;0,983235;0,707090;0,855223;0,798122;0,662862;0,701300;0,882238;0,803039;0,559796;0,677296;0,787668;0,730329;0,979354;0,913411;0,950383;0,719009;0,787262;0,751571;0,769431
da0mp0;0,742078;0,713211;0,660113;0,909424;0,743967;0,686227;0,717992;1,092896;0,766931;0,804943;0,824716;0,850655;0,831255;0,807187;0,909911;0,587522;0,678253;0,796912;0,680902;0,642884;0,913585;0,882373;0,645540;0,806963;1,007694;0,895308;0,673517;0,843330;0,910117;0,702973;0,861237;0,562467;0,493736;0,635646;0,648392;0,722150;0,847226;0,560772
pp1csn0;0,788876;1,033828;0,968645;0,653076;0,780258;0,826714;0,654013;0,461066;0,786429;0,668896;0,640741;0,384167;0,616514;0,761620;0,774553;0,670541;0,944710;0,965011;0,945330;0,939115;0,788436;0,563361;0,762911;0,645570;0,497038;0,856097;0,699421;0,756089;0,486807;0,686034;0,675210;0,979354;0,666543;0,685016;0,776786;0,822777;0,854058;0,665102
pp2cs00;0,401123;0,791729;0,982995;0,836182;0,629045;0,632193;0,447857;0,529372;0,669440;0,532850;0,653429;0,521369;0,692713;0,748600;0,744473;0,632224;0,660086;0,790686;0,846169;0,894996;0,788436;0,678748;0,980047;0,749323;0,783005;0,829957;0,483551;0,806979;0,712572;0,575930;0,950806;1,210958;0,894896;0,746729;0,840984;0,716231;0,819896;0,652061
p00cn00;0,822302;0,837532;0,896893;0,506592;0,677433;0,480899;0,789081;0,700137;0,812427;0,680234;0,831060;0,713453;0,630369;0,742091;0,609114;0,753560;0,702477;0,946333;0,555298;0,743729;0,757149;0,597299;0,510563;0,593694;0,728535;0,784211;0,803039;0,705198;0,649076;0,660625;0,682100;0,721281;0,561624;0,765243;0,815305;0,876051;0,717409;0,710746
pp3csd0;0,541516;0,889878;0,660113;0,665283;0,526220;0,923975;0,739319;0,452527;0,500455;0,544187;0,621709;0,672292;0,775838;0,663976;0,609114;0,600294;0,817538;0,516748;0,780062;0,623976;0,657030;0,495486;0,674883;0,737795;0,735344;0,660044;0,777135;0,734278;0,388034;0,855425;0,489183;0,760985;0,660372;0,950383;0,635552;0,698473;0,737907;1,056338
vmip2s0;0,434550;0,772100;0,789266;0,604248;0,713724;0,680823;0,440748;0,461066;0,630443;0,498838;0,640741;0,439048;0,706567;0,644447;0,601594;0,530047;0,587416;0,840493;0,634627;0,951721;0,682060;0,828073;0,944836;0,507234;0,728535;0,725395;0,638978;0,436205;0,599690;0,804607;0,516742;0,813923;0,709745;0,808442;0,808885;0,757665;0,983875;0,476004
di00;0,808932;0,601976;0,688814;0,695801;0,574608;0,486302;0,838843;0,554986;0,675939;0,646222;0,735901;0,672292;0,581879;0,637938;0,563995;0,689699;0,690365;0,778234;0,780062;0,661793;0,556911;0,556574;0,598592;0,599458;0,619596;0,568553;0,673517;0,705198;0,550303;0,491234;0,564972;0,622022;0,722089;0,573932;0,706169;0,763585;0,901886;0,678143
