;LOPE_AmorConVista(1626);LOPE_AmorPleitoYDesafio(1621);LOPE_AyVerdadesQueEnAmor(1625);LOPE_BastardoMudarra(1612);LOPE_BatallaDelHonor(1608);LOPE_Benavides(1600);LOPE_BizarriasDeBelisa(1634);LOPE_BrasilRestituido(1625);LOPE_BuenaGuarda(1610);LOPE_BurgalesaDeLerma(1613);LOPE_CaballeroDelSacramento(1610);LOPE_CardenalDeBelen(1610);LOPE_CarlosQuintoEnFrancia(1604);LOPE_CastigoSinVenganza(1631);LOPE_CoronaDeHungria(1623);LOPE_CoronaMerecida(1603);LOPE_CuerdoLoco(1602);LOPE_DamaBoba(1613);LOPE_DelMonteSale(1627);LOPE_DesdenVengado(1617);LOPE_DiscordiaEnLosCasados(1611);LOPE_EstefaniaLaDesdichada(1604);LOPE_FavorAgradecido(1593);LOPE_GalanDeLaMembrilla(1615);LOPE_HermosaEster(1610);LOPE_LoQuePasaEnUnaTarde(1617);LOPE_MarquesDeLasNavas(1624);LOPE_MasPuedenCelos(1627);LOPE_MayorVictoriaDeAlemania(1622);LOPE_NinezDelPadreRojas(1625);LOPE_PedroCarbonero(1603);LOPE_PoderEnElDiscreto(1623);LOPE_PrincipeDespenado(1602);LOPE_PruebaDeLosAmigos(1604);LOPE_QuienMasNoPuede(1616);LOPE_SantiagoElVerde(1615);LOPE_SembrarEnBuenaTierra(1616);LOPE_SinSecretoNoHayAmor(1626)
lo;1,090665775;0,825147348;0,811198851;0,604801759;0,889884376;0,659316904;0,768245839;0,504273504;0,92996033;1,129013957;0,583941606;0,453327838;0,735447166;0,821328466;0,79789236;0,8691762;0,751241973;1,021615897;0,707765577;0,719016083;0,651221039;0,733496333;0,569482769;0,593968053;0,60643227;0,739141811;0,751684811;0,596537174;0,416813847;0,661633726;0,503274733;0,867434777;0,667243297;1,000123472;0,783658787;0,983062892;0,854408749;1,004959541
yo;0,789561726;1,034708579;0,969131371;0,653674629;0,780918942;0,826848249;0,65443164;0,461538462;0,78688951;0,669465562;0,641066328;0,384641802;0,617498092;0,762662147;0,775310501;0,671055154;0,945110869;0,96555161;0,945892314;0,939766635;0,788979336;0,563705515;0,763224329;0,645868174;0,497410739;0,856881214;0,699844479;0,756583733;0,487460261;0,687081177;0,675629093;0,980002649;0,667243297;0,685269786;0,777235355;0,823167121;0,854408749;0,665622553
dar;0,615590498;1,001964637;0,710696339;0,751420368;0,786972577;0,643104194;0,540617442;0,555555556;0,585289718;0,663792125;0,641066328;0,64564874;0,86033442;0,651847989;0,684983064;0,658273151;0,908760451;0,766211923;0,575472946;0,901923683;0,770194114;0,665580005;0,68103094;0,974568941;0,681384573;0,909209838;0,7344047;0,611086862;0,713528788;0,551361439;0,710099966;0,860813137;0,636352403;1,172984319;0,713001028;0,681037546;0,888585099;0,724353955
tener;0,802944128;0,956123117;0,746590093;0,78807502;0,768811671;0,789018591;0,583297766;0,743589744;0,565780061;0,595710882;0,552205649;0,728071983;0,749323527;0,59318167;0,835528792;0,69661916;0,6058403;0,604248427;0,820214314;0,725323242;0,757670632;0,753871231;0,663418071;0,813101897;0,620059962;0,745682889;0,976326248;0,632911392;0,558106676;0,805835949;0,675629093;0,834326579;0,661065118;0,747005803;0,770811922;0,704725808;0,786056049;0,632993996
le;0,56206089;0,923379175;0,689160086;0,751420368;0,544827169;0,940337224;0,761132451;0,572649573;0,552773623;0,601384319;0,653760711;0,673123154;0,811767155;0,690958868;0,684983064;0,600754138;0,848176421;0,54818414;0,800370419;0,681173132;0,695053225;0,516164086;0,698643809;0,749668416;0,797219951;0,712977499;0,86400553;0,756583733;0,452137054;0,907625753;0,537745605;0,774731824;0,685777833;0,987776269;0,648766701;0,752102333;0,745044429;1,083268076
estar;0,970224155;0,609037328;0,811198851;0,580365325;0,841455294;0,659316904;0,583297766;0,538461538;0,702347662;0,624078066;0,622024754;0,487670857;0,499549018;0,671403429;0,572073767;0,82443919;0,702774749;0,728835732;0,608546104;0,706401766;0,525986224;0,543330617;0,522515118;0,743901736;0,585990733;0,86996337;0,803525143;0,727484359;0,649947015;0,542878955;1,020337815;0,854191498;0,630174225;1,000123472;0,610226105;0,781712661;0,669856459;0,672148264
ver;0,836400134;0,484610347;0,96195262;0,604801759;0,671953508;0,524210981;0,65443164;0,555555556;0,533263966;1,00987178;0,660107902;0,714334776;0,784014431;0,57362623;0,50432819;0,830830191;0,817884406;0,616707158;0,601931472;0,599180069;0,670006262;0,570497148;0,628192333;0,622801453;0,613246116;0,634484563;0,725764645;0,545613269;0,445072413;0,619221308;0,71699414;0,854191498;0,667243297;0,672922583;0,513874615;0,876465711;0,697197539;0,580788306
decir;0,669120107;0,681074001;0,617372577;0,55592889;0,647738967;0,610678772;0,554844217;0,41025641;0,656825128;0,737546806;0,539511266;0,556356893;0,51342538;0,632292549;0,594655627;0,581581134;0,690657943;0,647853984;0,714380209;0,908230842;0,670006262;0,536538984;0,569482769;0,519001211;0,436086127;0,765306122;0,527043373;0,472864833;0,607559166;0,525913988;0,448121337;0,741623626;0,457185222;0,654401778;0,738694758;0,86462158;0,690362269;0,776559645
querer;0,548678488;0,615586117;0,904522613;0,500946912;0,756704401;0,648508431;0,618864703;0,333333333;0,487741432;0,43118121;0,495080927;0,343430181;0,568930826;0,658366469;0,722619496;0,421806097;0,6058403;0,635395253;0,621775367;1,122674235;0,450845335;0,47541429;0,575353725;0,47863445;0,517852276;0,634484563;0,777604977;0,501964208;0,438007771;0,568326406;0,551533954;0,589325917;0,469541579;0,617360168;0,539568345;0,692881677;0,745044429;0,606891151
pues;0,475075276;0,654878847;0,646087581;0,592583542;0,647738967;0,486381323;0,362782757;0,307692308;0,481238213;0,63542494;0,552205649;0,329692973;0,464858114;0,514959911;0,639819345;0,466543107;0,539197867;0,791129384;0,436565683;0,813623463;0,457107076;0,40070633;0,575353725;0,570901332;0,436086127;0,562532705;0,457922931;0,400116397;0,642882374;0,57680889;0,35849707;0,728380347;0,451007043;0,463020126;0,764388489;0,663271349;0,690362269;0,515531193
tu;0,220809635;0,484610347;0,394831299;0,708656607;0,472183546;0,572849114;0,263195334;0,35042735;0,455225337;0,24395779;0,653760711;0,638780136;0,506487199;0,475849032;0,669928491;0,536844123;0,472555434;0,392450009;0,661463157;0,78208767;0,720100188;0,685954904;0,845417719;0,46710109;0,872172254;0,542909471;0,285121825;0,341917649;0,409749205;0,517431504;0,565322303;0,602569196;0,772272334;0,463020126;0,648766701;0,361246003;0,526315789;0,417645523
poder;0,521913684;0,576293386;0,653266332;0,445964934;0,617470791;0,437743191;0,377009532;0,418803419;0,507251089;0,43118121;0,520469692;0,460196442;0,437105391;0,554070791;0,541964622;0,626318144;0,48467224;0,529496044;0,542399788;0,555029959;0,519724483;0,461831024;0,399225034;0,519001211;0,470155356;0,614861329;0,596163815;0,662010767;0,339102791;0,50894902;0,42054464;0,748245266;0,574570617;0,493888134;0,661613566;0,586284496;0,45796309;0,665622553
hacer;0,488457678;0,563195809;0,344580043;0,476510477;0,59325625;0,518806744;0,448143406;0,247863248;0,702347662;0,573017134;0,552205649;0,343430181;0,582807188;0,397627273;0,323673316;0,543235125;0,442263419;0,529496044;0,436565683;0,599180069;0,507201002;0,488997555;0,487289379;0,45556773;0,531479967;0,693354265;0,518403318;0,436490615;0,381490639;0,4156417;0,510168907;0,437028208;0,488076115;0,475367329;0,481757451;0,568518299;0,33492823;0,45027408
más;0,37470726;0,333988212;0,538406317;0,348219195;0,502451722;0,324254215;0,526390667;0,52991453;0,455225337;0,612731193;0,437956204;0,219795316;0,242836328;0,560589271;0,406473466;0,402633093;0,357445777;0,54818414;0,489482736;0,542415642;0,588603632;0,407497963;0,475547467;0,49016781;0,470155356;0,438252224;0,44064282;0,378291867;0,367361356;0,50894902;0,379179593;0,523109522;0,413937971;0,487714533;0,533144913;0,426388724;0,567327409;0,456799791
os;0,829708933;0,589390963;0,545585068;0,329891869;0,538773534;0,486381323;0,561957604;0,333333333;0,494244651;0,624078066;0,18406855;0,350298784;0,499549018;0,371553354;0,564546481;0,492107113;0,387737792;0,479661123;0,469638841;0,3658152;0,356919224;0,278456941;0,287676863;0,507467851;0,115835377;0,41862899;0,58752376;0,683835298;0,416813847;0,525913988;0,110306791;0,357568534;0,494254294;0,395110507;0,366135663;0,604050693;0,35543404;0,424171235
ya;0,287721646;0,399476097;0,488155061;0,507056021;0,690114414;0,453955901;0,312989045;0,393162393;0,559276842;0,391467151;0,425261822;0,439590631;0,402414487;0,501922952;0,496800903;0,345114079;0,472555434;0,492119853;0,330731578;0,309050773;0,381966187;0,488997555;0,487289379;0,559367972;0,388389207;0,438252224;0,501123207;0,320093118;0,501589544;0,32233438;0,455015512;0,437028208;0,51278883;0,506235338;0,276207605;0,390856331;0,594668489;0,365439833
señor;0,347942456;0,504256713;0,315865039;0,384873847;0,56904171;0,486381323;0,362782757;0,256410256;0,383689927;0,340406218;0,520469692;0,288481352;0,34690904;0,743106708;0,301091457;0,664664153;0,563431479;0,367532548;0,681307051;0,473036897;0,513462743;0,522955719;0,317031644;0,582434692;0,408830744;0,431711146;0,319682046;0,269169213;0,261391734;0,364746798;0,248190279;0,490001324;0,654886939;0,296332881;0,539568345;0,384934265;0,28024607;0,522056904
amor;0,354633657;0,543549443;0,552763819;0,189382369;0,490344452;0,129701686;0,725565514;0,136752137;0,253625545;0,624078066;0,425261822;0,103029054;0,353847221;0,514959911;0,429055326;0,466543107;0,230219314;0,672771445;0,54901442;0,813623463;0,356919224;0,32599837;0,281805906;0,547834612;0,388389207;0,608320251;0,406082599;0,683835298;0,268456376;0,313851896;0,199931058;0,715137068;0,271839862;0,228423262;0,513874615;0,58036243;0,39644566;0,535108327
bien;0,341251255;0,543549443;0,437903805;0,329891869;0,490344452;0,405317769;0,369896145;0,307692308;0,325160955;0,487915579;0,41891463;0,336561577;0,298341775;0,299850075;0,301091457;0,440979101;0,496789046;0,573101601;0,304273052;0,561337118;0,369442705;0,414289595;0,381612165;0,46133441;0,333878441;0,549450549;0,501123207;0,261894369;0,388555281;0,347781831;0,365391244;0,41054165;0,333621648;0,580318558;0,449640288;0,473765249;0,49213944;0,404594101
tan;0,508531281;0,432220039;0,351758794;0,366546521;0,44191537;0,291828794;0,391236307;0,299145299;0,507251089;0,408487462;0,368137099;0,364035991;0,270589052;0,469330552;0,286036884;0,319550073;0,230219314;0,373761914;0,595316841;0,46042258;0,363180964;0,217332247;0,34051547;0,46710109;0,395203053;0,313971743;0,457922931;0,494689364;0,339102791;0,534396471;0,303343675;0,496622964;0,376868899;0,265464872;0,378982528;0,503375577;0,43062201;0,443748369
para;0,488457678;0,438768828;0,416367552;0,403201173;0,478237181;0,313445741;0,49082373;0,393162393;0,344670612;0,402814025;0,336401142;0,39837901;0,242836328;0,462812072;0,436582612;0,383460088;0,278686538;0,348844453;0,377033999;0,359508042;0,306825297;0,387123064;0,369870252;0,432501009;0,436086127;0,346677132;0,457922931;0,458315146;0,310844225;0,491984053;0,324026198;0,390676732;0,383047078;0,339548092;0,269784173;0,43231079;0,38277512;0,443748369
ir;0,294412847;0,406024885;0,416367552;0,274909891;0,345057207;0,410722006;0,377009532;0,35042735;0,422709241;0,50493589;0,298317994;0,329692973;0,555054465;0,371553354;0,406473466;0,364287084;0,496789046;0,529496044;0,251355999;0,271207821;0,419536631;0,32599837;0,328773557;0,46133441;0,333878441;0,457875458;0,449282875;0,290993744;0,388555281;0,313851896;0,48259221;0,27810886;0,339799827;0,58649216;0,404676259;0,426388724;0,32809296;0,293657009
como;0,481766477;0,353634578;0,229720029;0,384873847;0,30268176;0,448551665;0,419689856;0,299145299;0,390193146;0,465221831;0,349095525;0,41898482;0,235898148;0,430219673;0,29356417;0,440979101;0,357445777;0,498349218;0,469638841;0,479344056;0,33187226;0,230915512;0,375741208;0,363300848;0,340692287;0,392464678;0,388802488;0,487414521;0,43094313;0,466536602;0,261978628;0,403920011;0,240948968;0,302506482;0,295477903;0,515219709;0,37593985;0,313234143
saber;0,468384075;0,412573674;0,445082556;0,256582565;0,472183546;0,372892348;0,298762271;0,376068376;0,42921246;0,380120277;0,330053951;0,199189505;0,326094498;0,397627273;0,474219044;0,409024094;0,345328971;0,510807949;0,390263262;0,435193945;0,356919224;0,373539799;0,187870604;0,322934087;0,354319978;0,359759288;0,362882322;0,356467336;0,211939244;0,525913988;0,261978628;0,377433453;0,296552576;0,370416101;0,295477903;0,361246003;0,3417635;0,548159749
porque;0,341251255;0,248853962;0,32304379;0,32378276;0,260306314;0,345871163;0,35566937;0,264957265;0,403199584;0,226937479;0,387178673;0,350298784;0,353847221;0,423701193;0,195709447;0,377069087;0,321095359;0,336385722;0,324116947;0,498265531;0,40701315;0,271665308;0,223096342;0,409434289;0,395203053;0,333594976;0,259201659;0,494689364;0,226068527;0,424124184;0,179248535;0,364190173;0,290374398;0,314853686;0,411099692;0,367168068;0,32809296;0,398068389
venir;0,354633657;0,281597904;0,344580043;0,317673651;0,260306314;0,410722006;0,362782757;0,213675214;0,325160955;0,482242142;0,336401142;0,384641802;0,437105391;0,286813115;0,225818592;0,377069087;0,272628135;0,498349218;0,370419368;0,208136235;0,350657483;0,40070633;0,375741208;0,334467447;0,170346143;0,340136054;0,354242267;0,269169213;0,275521017;0,237509543;0,275766977;0,311217057;0,308908934;0,302506482;0,237667009;0,455999052;0,26657553;0,437222657
rey;0,026764804;0,438768828;0,021536253;0,219927913;0,762758036;0,778210117;0,042680324;0,085470085;0,006503219;0,068081244;0,291970803;0,068686036;0,416290849;0,02607392;0,579601054;0,760529175;0,090876045;0,018688096;0,350575473;0,309050773;0,601127113;0,597663678;0,733869547;0,328700767;0,769964568;0,06541078;0,043200276;0,160046559;0,134228188;0,050894902;0,517063082;0,893921335;0,716668726;0,012347203;0,680883864;0,005922066;0,02734108;0,156617071
él;0,260956842;0,30124427;0,351758794;0,250473456;0,260306314;0,443147428;0,305875658;0,136752137;0,279638421;0,363099966;0,336401142;0,391510406;0,367723583;0,293331595;0,195709447;0,268422062;0,339270568;0,367532548;0,224897473;0,290129297;0,237946149;0,25129041;0,193741561;0,409434289;0,286181521;0,333594976;0,267841714;0,443765459;0,162486754;0,339299347;0,241296105;0,311217057;0,284196219;0,413631313;0,391829394;0,355323937;0,42378674;0,398068389
todo;0,200736032;0,353634578;0,172290022;0,299346325;0,326896301;0,232382188;0,263195334;0,230769231;0,370683488;0,312039033;0,368137099;0,309087163;0,333032679;0,286813115;0,150545728;0,383460088;0,369562583;0,330156357;0,238126736;0,309050773;0,24420789;0,258082043;0,428579816;0,230667205;0,36794767;0,287807431;0,276481769;0,232794995;0,233133168;0,356264314;0,523957256;0,364190173;0,37069072;0,419804914;0,199126413;0,236882625;0,33492823;0,267554163
quien;0,408163265;0,288146693;0,337401292;0,238255239;0,266359949;0,199956766;0,234741784;0,213675214;0,253625545;0,340406218;0,304665186;0,267875541;0,228959967;0,365034874;0,301091457;0,306768071;0,24233612;0,236715879;0,33734621;0,447808262;0,350657483;0,258082043;0,387483121;0,236433885;0,340692287;0,222396651;0,29376188;0,254619526;0,169551395;0,305369412;0,255084454;0,324460336;0,191523539;0,308680084;0,321171634;0,307947412;0,2734108;0,313234143
ese;0,307795249;0,209561231;0,294328787;0,390982956;0,314789031;0,313445741;0,184948072;0,076923077;0,344670612;0,260978101;0,222151698;0,164846487;0,242836328;0,169480477;0,263455024;0,447370103;0,387737792;0,398679375;0,112448737;0,245979186;0,33187226;0,285248574;0,475547467;0,363300848;0,190787681;0,255102041;0,302401935;0,152771715;0,254327093;0,237509543;0,241296105;0,231757383;0,284196219;0,475367329;0,334018499;0,379012199;0,28708134;0,228399896
